Fecha de muestreo ,Punto de Muestreo,Profundidad secchi (m),Zona fótica (m),pH,Temperatura Media      (°C),OD                        (mg/l),%OD,Conductividad (us/cm),Redox,Fósforo Total     (ug/L P- PO4- ),Nitratos             (ug/L N-NO3-),N. amonical             (ug/L N-NH4+),Manganeso          (mg/l),Color Real (PtCo),Turbiedad (NTU),N total              (mg/l),TOC                  (mg/l),"UV 
(cm-1)",SUVA,Clorofila-a            (ug/l),Feopigmentos,Algas eucariotas totales (cél/ml),Cianobacterias totales (cél/ml),Coliformes totales,E.coli,F- N,CL- N,NO2- N,NO3- N,PO4- N,SO4- N,NH4+ N,K N,NT N,NT Orgánico N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jan-12,Torre Superficial,1.52,4.11,7.3,19.60,7.5,104.80,43.6,209.0,30,154.850,32.560,0.015,8,1,0.332,1.7530,0.046,2.6,2.37,0.95,2,0,3873,683,0.015,2.977,0.007,0.686,0.009,1.916,0.042,1.819,0.332,0.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-12,Torre Media,0.17,0.47,7.0,18.60,6.8,93.40,51.3,216.9,10,176.300,29.460,0.028,16,2,0.363,1.6080,0.037,2.3,2.37,0.95,3,0,-,-,0.025,3.907,0.007,0.781,0.009,2.466,0.038,1.036,0.363,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jan-12,Torre Profunda,1.52,4.11,6.8,17.50,5.2,70.50,55.4,214.1,50,232.280,65.890,0.036,12,18,0.444,1.9630,0.039,2.0,1.78,1.13,0,0,-,-,0.029,4.605,0.008,1.029,0.010,2.702,0.085,1.231,0.444,0.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jan-12,Presa,1.75,4.73,7.3,19.30,7.7,106.90,41.4,205.8,10,202.480,58.910,0.052,11,3,0.427,2.2440,0.054,2.4,4.15,0.00,10,0,-,-,0.022,4.662,0.009,0.897,0.010,1.736,0.076,3.080,0.427,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jan-12,Potreros,#VALUE!,#VALUE!,7.3,20.00,7.4,104.20,41.9,193.7,10,149.440,15.500,0.020,13,1,0.306,1.6640,0.037,2.2,2.37,-0.30,0,0,-,-,0.040,2.953,0.007,0.662,0.020,1.809,0.020,0.917,0.306,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jan-12,Palmas-Esp.Santo,3.03,8.20,7.2,19.10,7.4,102.70,50.5,162.6,10,169.530,27.130,0.021,19,4,0.389,1.6001,0.045,2.8,1.18,2.55,0,0,-,-,0.013,3.712,0.008,0.751,0.012,2.334,0.035,0.914,0.389,0.190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-Jan-12,Descarga Bombeo,2.74,7.40,7.4,19.40,7.6,106.70,41.5,199.5,10,159.140,31.780,0.014,15,2,0.351,1.8300,0.040,2.2,7.11,-0.06,0,0,24192,6867,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Mar-12,Torre Superficial,3.02,8.16,7.7,20.80,7.8,113.40,43.3,111.3,ND,154.850,72.870,0.042,11,2,0.324,2.3328,-,-,4.15,-0.41,23,0,12997,420,0.019,3.559,-,0.610,-,2.045,0.094,1.269,0.324,0.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-12,Torre Media,3.02,8.16,7.1,19.50,6.9,98.70,58.9,129.5,ND,176.300,90.300,0.044,8,4,0.430,2.4562,-,-,8.29,-0.83,23,0,-,-,0.025,5.796,0.055,0.824,-,3.420,0.070,1.072,0.430,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Mar-12,Torre Profunda,3.02,8.16,6.8,18.70,5.3,73.60,56.4,128.1,ND,232.280,123.250,0.044,6,3,0.496,2.5677,-,#VALUE!,2.37,5.09,12,0,-,-,0.020,5.817,0.061,0.787,-,3.594,0.159,1.934,0.496,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
